track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date,stream_percentage,spotify_percentage,more_than_10M_streams,three_or_more_artist,Summer,top10_more_in_spotify_than_apple
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633.0,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3,2017-04-28,30.157323862679164,98.81639722863741,True,False,False,True
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900.0,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5,2021-03-11,22.626988163974108,97.71880819366852,True,False,False,True
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694.0,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3,2011-01-01,31.416135466908745,99.40648816348553,True,False,False,True
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526.0,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10,2012-01-01,29.525823603284934,99.7431219984364,True,False,False,True
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294.0,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3,2022-12-02,4.850550310162484,96.81818181818181,True,False,False,True
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561.0,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3,2023-06-22,1.0545266596285876,96.66666666666667,True,False,True,False
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123.0,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4,2023-07-07,0.9965758279469016,82.5,True,False,True,True
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614.0,101,32,"2,655",0,666,112,G,Major,64,54,81,36,0,11,6,1985-02-17,32.55901125453966,99.75867342062506,True,False,False,True
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570.0,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33,2014-12-09,48.35451691307819,99.62342308416494,True,False,False,True
Tattoo,Loreen,1,2023,2,25,2988,59,201660859.0,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8,2023-02-25,5.4445618725969345,97.58327890267799,True,False,False,True
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961.0,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17,2023-02-08,6.6980558585877485,97.91666666666666,True,False,False,False
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753.0,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6,2023-05-12,2.452546607965817,96.47266313932981,True,True,False,True
august,Taylor Swift,1,2020,7,24,7324,22,607123776.0,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3,2020-07-24,16.391495003780985,99.65981766226697,True,False,True,True
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345.0,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4,2023-06-22,1.5076654139582142,91.36363636363637,True,False,True,True
